#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Joel Embiid,PHI,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,1.1,1.5,3.1,33.9
2,Giannis Antetokounmpo,MIL,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2.0,9.6,11.6,5.8,1.1,1.4,3.3,35.0
3,Luka Doncic,DAL,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,1.2,0.6,4.5,29.8
4,Trae Young,ATL,76,34.9,28.4,9.4,20.3,46.0,3.1,8.0,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,0.9,0.1,4.0,27.2
5,DeMar DeRozan,CHI,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,0.9,0.3,2.4,25.8
6,Nikola Jokic,DEN,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81.0,2.8,11.0,13.8,7.9,1.5,0.9,3.8,38.7
7,Jayson Tatum,BOS,76,35.9,26.9,9.3,20.6,45.3,3.0,8.6,35.3,5.3,6.2,85.3,1.1,6.9,8.0,4.4,1.0,0.6,2.9,25.9
8,Devin Booker,PHX,68,34.5,26.8,9.7,20.9,46.6,2.7,7.0,38.3,4.6,5.3,86.8,0.7,4.4,5.0,4.8,1.1,0.4,2.4,23.9
9,Donovan Mitchell,UTA,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4.0,4.7,85.3,0.8,3.4,4.2,5.3,1.5,0.2,3.0,22.1
10,Stephen Curry,GSW,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38.0,4.3,4.7,92.3,0.5,4.7,5.2,6.3,1.3,0.4,3.2,24.4
11,Karl-Anthony Towns,MIN,74,33.4,24.6,8.7,16.4,52.9,2.0,4.9,41.0,5.2,6.3,82.2,2.6,7.2,9.8,3.6,1.0,1.1,3.1,28.2
12,Zach LaVine,CHI,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,0.6,0.3,2.6,21.8
13,Jaylen Brown,BOS,66,33.6,23.6,8.7,18.4,47.3,2.5,7.0,35.8,3.7,4.8,75.8,0.8,5.3,6.1,3.5,1.1,0.3,2.7,21.0
14,De'Aaron Fox,SAC,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,0.4,3.5,3.9,5.6,1.2,0.4,2.8,20.2
15,Pascal Siakam,TOR,68,37.9,22.8,8.8,17.8,49.4,1.1,3.2,34.4,4.2,5.6,74.9,1.9,6.6,8.5,5.3,1.3,0.6,2.7,25.5
16,CJ McCollum,NOP,62,34.6,22.1,8.6,18.8,46.0,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,1.1,0.4,2.0,20.0
17,James Harden,PHI,65,37.2,22.0,6.3,15.3,41.0,2.3,6.9,33.0,7.2,8.2,87.7,0.8,6.8,7.7,10.3,1.3,0.6,4.4,27.4
18,Darius Garland,CLE,68,35.7,21.7,8.0,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,1.3,0.1,3.6,21.6
19,Anthony Edwards,MIN,72,34.3,21.3,7.6,17.3,44.1,3.0,8.4,35.7,3.1,3.9,78.6,0.9,3.9,4.8,3.8,1.5,0.6,2.6,18.8
20,Dejounte Murray,SAS,68,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.0,0.3,2.6,27.8
21,Tyler Herro,MIA,66,32.6,20.7,7.6,17.0,44.7,2.7,6.7,39.9,2.9,3.3,86.8,0.5,4.5,5.0,4.0,0.7,0.1,2.6,18.0
22,Fred VanVleet,TOR,65,37.9,20.3,6.8,16.9,40.3,3.7,9.9,37.7,3.0,3.4,87.4,0.7,3.8,4.4,6.7,1.7,0.5,2.6,20.6
23,Miles Bridges,CHA,80,35.5,20.2,7.5,15.2,49.1,1.9,5.8,33.1,3.3,4.2,80.2,1.1,5.9,7.0,3.8,0.9,0.8,1.9,22.2
24,LaMelo Ball,CHA,75,32.3,20.1,7.2,16.7,42.9,2.9,7.5,38.9,2.8,3.2,87.2,1.4,5.2,6.7,7.6,1.6,0.4,3.3,23.2
25,Julius Randle,NYK,72,35.3,20.1,7.1,17.3,41.1,1.7,5.4,30.8,4.2,5.6,75.6,1.7,8.2,9.9,5.1,0.7,0.5,3.4,21.5
26,Khris Middleton,MIL,66,32.4,20.1,6.8,15.5,44.3,2.5,6.6,37.3,3.9,4.4,89.0,0.6,4.8,5.4,5.4,1.2,0.3,2.9,20.3
27,RJ Barrett,NYK,70,34.5,20.0,7.0,17.1,40.8,2.0,5.8,34.2,4.1,5.8,71.4,0.9,4.9,5.8,3.0,0.6,0.2,2.2,15.8
28,Terry Rozier,CHA,73,33.7,19.3,7.1,16.0,44.4,3.0,8.1,37.4,2.1,2.4,85.2,0.8,3.5,4.3,4.5,1.3,0.3,1.3,19.1
29,Domantas Sabonis,SAC,62,34.5,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,1.0,0.4,3.1,27.8
30,Jordan Poole,GSW,76,30.0,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3.0,3.4,4.0,0.8,0.3,2.5,16.6
31,Russell Westbrook,LAL,78,34.3,18.5,7.0,15.8,44.4,1.0,3.4,29.8,3.4,5.1,66.7,1.4,6.0,7.4,7.1,1.0,0.3,3.8,19.9
32,Gary Trent Jr.,TOR,70,35.0,18.3,6.4,15.5,41.4,3.0,7.8,38.3,2.5,2.9,85.3,0.4,2.4,2.7,2.0,1.7,0.3,1.0,14.5
33,Jrue Holiday,MIL,67,32.9,18.3,7.1,14.2,50.1,2.0,4.8,41.1,2.0,2.7,76.1,1.0,3.5,4.5,6.8,1.6,0.4,2.7,21.2
34,Desmond Bane,MEM,76,29.8,18.2,6.7,14.5,46.1,3.0,6.9,43.6,1.8,2.0,90.3,0.6,3.8,4.4,2.7,1.2,0.4,1.5,17.5
35,D'Angelo Russell,MIN,65,32.0,18.1,6.2,15.0,41.1,2.7,8.0,34.0,3.0,3.7,82.5,0.4,2.9,3.3,7.1,1.0,0.3,2.5,17.8
36,Bojan Bogdanovic,UTA,69,30.9,18.1,6.1,13.4,45.5,2.6,6.8,38.7,3.2,3.8,85.8,0.8,3.4,4.3,1.7,0.5,0.0,1.7,15.0
37,Christian Wood,HOU,68,30.8,17.9,6.5,12.9,50.1,1.9,4.9,39.0,3.0,4.9,62.3,1.6,8.5,10.1,2.3,0.8,1.0,1.9,21.9
38,Jonas Valanciunas,NOP,74,30.3,17.8,6.9,12.7,54.4,0.8,2.1,36.1,3.2,3.9,82.0,3.1,8.3,11.4,2.6,0.6,0.8,2.4,24.2
39,Nikola Vucevic,CHI,73,33.1,17.6,7.5,15.8,47.3,1.4,4.5,31.4,1.3,1.7,76.0,1.9,9.1,11.0,3.2,1.0,1.0,1.9,23.2
40,Tyrese Maxey,PHI,75,35.3,17.5,6.4,13.3,48.5,1.8,4.1,42.7,2.8,3.3,86.6,0.3,2.9,3.2,4.3,0.7,0.4,1.2,17.7
41,Cade Cunningham,DET,64,32.6,17.4,6.7,16.1,41.6,1.8,5.7,31.4,2.2,2.6,84.5,0.9,4.6,5.5,5.6,1.2,0.7,3.7,16.9
42,Jalen Green,HOU,67,31.9,17.3,6.1,14.2,42.6,2.3,6.8,34.3,2.8,3.5,79.7,0.5,2.9,3.4,2.6,0.7,0.3,2.0,13.3
43,Tobias Harris,PHI,73,34.8,17.2,6.8,14.0,48.2,1.4,3.8,36.7,2.3,2.8,84.2,1.1,5.7,6.8,3.5,0.6,0.6,1.6,19.4
44,Andrew Wiggins,GSW,73,31.9,17.2,6.5,14.0,46.6,2.2,5.5,39.3,2.0,3.2,63.4,1.2,3.3,4.5,2.2,1.0,0.7,1.5,15.5
45,Deandre Ayton,PHX,58,29.5,17.2,7.6,12.0,63.4,0.1,0.3,36.8,1.8,2.4,74.6,2.6,7.7,10.2,1.4,0.7,0.7,1.6,23.7
46,Kyle Kuzma,WAS,66,33.4,17.1,6.4,14.2,45.2,1.9,5.7,34.1,2.4,3.3,71.2,1.1,7.4,8.5,3.5,0.6,0.9,2.6,19.4
47,Keldon Johnson,SAS,75,31.9,17.0,6.3,13.5,46.6,2.1,5.3,39.8,2.4,3.1,75.6,1.1,5.0,6.1,2.1,0.8,0.2,1.2,17.0
48,Caris LeVert,CLE,58,30.7,17.0,6.5,14.7,44.4,1.4,4.4,32.0,2.5,3.3,75.6,0.7,2.9,3.7,4.3,0.9,0.4,1.9,15.4
49,Reggie Jackson,LAC,75,31.2,16.8,6.4,16.3,39.2,2.2,6.8,32.6,1.8,2.2,84.7,0.5,3.1,3.6,4.8,0.7,0.2,2.3,13.6
50,Harrison Barnes,SAC,77,33.6,16.4,5.1,10.8,46.9,1.8,4.7,39.4,4.4,5.4,82.6,1.1,4.5,5.6,2.4,0.7,0.2,1.5,17.1
51,Cole Anthony,ORL,65,31.7,16.3,5.5,14.0,39.1,2.0,6.0,33.8,3.3,3.9,85.4,0.5,4.9,5.4,5.7,0.7,0.3,2.6,16.6
52,Jaren Jackson Jr.,MEM,78,27.3,16.3,5.5,13.3,41.5,1.6,5.1,31.9,3.6,4.4,82.3,1.5,4.3,5.8,1.1,0.9,2.3,1.7,16.2
53,Jalen Brunson,DAL,79,31.9,16.3,6.4,12.8,50.2,1.2,3.2,37.3,2.3,2.7,84.0,0.5,3.4,3.9,4.8,0.8,0.0,1.6,17.5
54,Saddiq Bey,DET,82,33.0,16.1,5.5,13.9,39.6,2.6,7.4,34.6,2.6,3.1,82.7,1.3,4.1,5.4,2.8,0.9,0.2,1.2,15.3
55,Jordan Clarkson,UTA,79,27.1,16.0,5.9,14.1,41.9,2.4,7.6,31.8,1.8,2.2,82.8,0.8,2.6,3.5,2.5,0.8,0.2,1.6,12.8
56,Buddy Hield,IND,81,30.9,15.6,5.5,13.6,40.6,3.2,8.8,36.6,1.4,1.6,87.4,0.8,3.5,4.4,2.8,0.9,0.3,1.9,13.9
57,Rudy Gobert,UTA,66,32.1,15.6,5.5,7.7,71.3,0.0,0.1,0.0,4.6,6.7,69.0,3.7,11.0,14.7,1.1,0.7,2.1,1.8,28.0
58,Kevin Porter Jr.,HOU,61,31.3,15.6,5.5,13.2,41.5,2.5,6.8,37.5,2.0,3.2,64.2,0.7,3.7,4.4,6.2,1.1,0.4,3.1,15.6
59,Tyrese Haliburton,IND,77,35.0,15.3,5.6,11.8,47.3,2.1,5.1,41.4,2.1,2.5,84.2,0.8,3.2,4.0,8.2,1.7,0.6,2.6,20.7
60,Scottie Barnes,TOR,74,35.4,15.3,6.2,12.6,49.2,0.8,2.6,30.1,2.1,2.9,73.5,2.6,4.9,7.5,3.5,1.1,0.7,1.8,19.1
61,Franz Wagner,ORL,79,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,1.1,3.4,4.5,2.9,0.9,0.4,1.5,15.4
62,Bogdan Bogdanovic,ATL,63,29.3,15.1,5.4,12.6,43.1,2.7,7.3,36.8,1.5,1.8,84.3,0.5,3.5,4.0,3.1,1.1,0.2,1.1,14.9
63,Wendell Carter Jr.,ORL,62,29.9,15.0,5.8,11.0,52.5,1.1,3.5,32.7,2.3,3.3,69.1,2.2,8.2,10.5,2.8,0.6,0.7,1.9,21.3
64,Aaron Gordon,DEN,75,31.7,15.0,5.8,11.1,52.0,1.2,3.5,33.5,2.3,3.1,74.3,1.7,4.2,5.9,2.5,0.6,0.6,1.8,16.7
65,Seth Curry,BKN,64,33.3,15.0,5.6,11.5,48.7,2.5,5.8,42.2,1.3,1.5,87.2,0.3,2.8,3.1,3.6,0.8,0.2,1.7,15.0
66,Evan Mobley,CLE,69,33.8,15.0,6.1,12.0,50.8,0.3,1.3,25.0,2.4,3.7,66.3,2.1,6.2,8.3,2.5,0.8,1.7,1.9,19.2
67,Kelly Oubre Jr.,CHA,76,26.3,15.0,5.4,12.3,44.0,2.5,7.3,34.5,1.7,2.5,66.7,1.0,2.9,4.0,1.1,1.0,0.4,0.9,12.9
68,Lauri Markkanen,CLE,61,30.8,14.8,5.1,11.5,44.5,2.2,6.2,35.8,2.3,2.6,86.8,1.0,4.7,5.7,1.3,0.7,0.5,0.9,15.3
69,Chris Paul,PHX,65,32.9,14.7,5.6,11.3,49.3,1.0,3.1,31.7,2.6,3.1,83.7,0.3,4.0,4.4,10.8,1.9,0.3,2.4,23.5
70,Will Barton,DEN,71,32.1,14.7,5.5,12.6,43.8,2.2,6.1,36.5,1.4,1.8,80.3,0.6,4.2,4.8,3.9,0.8,0.4,1.8,15.3
71,Bobby Portis,MIL,72,28.2,14.6,5.8,12.1,47.9,1.8,4.7,39.3,1.2,1.6,75.2,2.5,6.6,9.1,1.2,0.7,0.7,1.3,18.4
72,Mikal Bridges,PHX,82,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,0.9,3.3,4.2,2.3,1.2,0.4,0.8,16.2
73,Evan Fournier,NYK,80,29.5,14.1,5.0,12.1,41.7,3.0,7.7,38.9,1.0,1.4,70.8,0.4,2.2,2.6,2.1,1.0,0.3,1.3,11.3
74,Malik Monk,LAL,76,28.1,13.8,5.1,10.9,47.3,2.3,5.8,39.1,1.2,1.5,79.5,0.5,2.9,3.4,2.9,0.8,0.4,1.6,13.6
75,Spencer Dinwiddie,DAL,67,29.6,13.7,4.6,11.0,41.6,1.7,4.9,33.9,2.9,3.8,77.4,0.7,3.5,4.2,5.2,0.7,0.2,1.6,15.1
76,Mike Conley,UTA,72,28.6,13.7,4.8,11.0,43.5,2.3,5.8,40.8,1.8,2.3,79.6,0.7,2.4,3.0,5.3,1.3,0.3,1.7,15.3
77,Kevin Love,CLE,74,22.5,13.6,4.4,10.3,43.0,2.5,6.4,39.2,2.2,2.7,83.8,1.2,6.1,7.2,2.2,0.4,0.2,1.3,16.0
78,Dennis Schroder,HOU,64,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,0.8,0.1,2.2,13.4
79,Jakob Poeltl,SAS,68,29.0,13.5,6.0,9.8,61.8,0.0,0.0,100,1.4,2.8,49.5,3.9,5.5,9.3,2.8,0.7,1.7,1.6,21.2
80,Kyle Lowry,MIA,63,33.9,13.4,4.4,10.0,44.0,2.3,6.1,37.7,2.3,2.8,85.1,0.5,4.0,4.5,7.5,1.1,0.3,2.7,18.1
81,Carmelo Anthony,LAL,69,26.0,13.3,4.6,10.5,44.1,2.2,5.8,37.5,1.9,2.3,83.0,0.9,3.3,4.2,1.0,0.7,0.8,0.9,12.8
82,Derrick White,BOS,75,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,0.5,3.0,3.5,4.9,0.9,0.8,1.6,15.0
83,Kentavious Caldwell-Pope,WAS,77,30.2,13.2,4.7,10.8,43.5,2.1,5.3,39.0,1.8,2.0,89.0,0.5,2.9,3.4,1.9,1.1,0.3,1.3,12.4
84,Montrezl Harrell,CHA,71,23.1,13.1,5.0,7.8,64.5,0.1,0.2,23.5,3.0,4.2,71.6,2.1,4.0,6.1,2.0,0.4,0.6,1.0,17.3
85,Coby White,CHI,61,27.5,12.7,4.6,10.6,43.3,2.2,5.8,38.5,1.3,1.5,85.7,0.3,2.7,3.0,2.9,0.5,0.2,1.1,11.8
86,Monte Morris,DEN,75,29.9,12.6,5.0,10.3,48.4,1.7,4.2,39.5,1.0,1.1,86.9,0.4,2.7,3.0,4.4,0.7,0.2,1.0,14.5
87,Cameron Johnson,PHX,66,26.2,12.5,4.2,9.2,46.0,2.5,5.9,42.5,1.5,1.7,86.0,0.6,3.5,4.1,1.5,0.9,0.2,0.7,13.3
88,Devin Vassell,SAS,71,27.3,12.3,4.6,10.8,42.7,1.9,5.4,36.1,1.2,1.4,83.8,0.6,3.7,4.3,1.9,1.1,0.6,0.8,12.9
89,Lonnie Walker IV,SAS,70,23.0,12.1,4.4,10.9,40.7,1.6,5.0,31.4,1.7,2.1,78.4,0.3,2.3,2.6,2.2,0.6,0.3,1.0,9.8
90,Marcus Smart,BOS,71,32.3,12.1,4.2,10.1,41.8,1.7,5.1,33.1,2.0,2.5,79.3,0.6,3.2,3.8,5.9,1.7,0.3,2.2,15.1
91,Malik Beasley,MIN,79,25.0,12.1,4.2,10.8,39.1,3.0,8.1,37.7,0.6,0.8,81.7,0.3,2.5,2.9,1.5,0.5,0.2,0.5,9.9
92,Kevin Huerter,ATL,74,29.6,12.1,4.7,10.3,45.4,2.2,5.6,38.9,0.6,0.7,80.8,0.4,3.0,3.4,2.7,0.7,0.4,1.2,12.4
93,Luke Kennard,LAC,70,27.4,11.9,4.1,9.1,44.9,2.7,6.0,44.9,1.0,1.1,89.6,0.3,3.0,3.3,2.1,0.6,0.1,0.9,11.9
94,Devonte' Graham,NOP,76,28.4,11.9,3.9,10.7,36.3,2.5,7.4,34.1,1.6,1.8,84.3,0.5,1.8,2.3,4.2,0.9,0.2,1.4,10.9
95,Jae'Sean Tate,HOU,78,26.4,11.8,4.7,9.3,49.8,0.8,2.6,31.2,1.7,2.4,70.7,1.7,3.7,5.4,2.8,0.9,0.5,1.8,14.3
96,Danilo Gallinari,ATL,66,25.3,11.7,3.9,9.0,43.4,1.7,4.5,38.1,2.1,2.4,90.4,0.5,4.1,4.7,1.5,0.4,0.2,0.6,12.6
97,Alec Burks,NYK,81,28.6,11.7,3.5,9.0,39.1,1.9,4.8,40.4,2.7,3.3,82.2,0.6,4.3,4.9,3.0,1.0,0.3,1.1,13.7
98,Davion Mitchell,SAC,75,27.7,11.5,4.7,11.2,41.8,1.3,4.3,31.6,0.7,1.1,65.9,0.4,1.8,2.2,4.2,0.7,0.3,1.5,10.5
99,Patty Mills,BKN,81,29.0,11.4,4.0,9.8,40.8,2.8,7.0,40.0,0.6,0.7,81.4,0.2,1.7,1.9,2.3,0.6,0.2,0.9,9.6
100,Immanuel Quickley,NYK,78,23.1,11.3,3.6,9.3,39.2,1.8,5.1,34.6,2.3,2.6,88.1,0.4,2.8,3.2,3.5,0.7,0.0,1.3,11.5
101,Gary Harris,ORL,61,28.4,11.1,3.9,9.1,43.4,1.9,5.0,38.4,1.4,1.6,87.4,0.6,1.4,2.0,1.8,1.0,0.1,1.0,9.7
102,Grayson Allen,MIL,66,27.3,11.1,3.9,8.6,44.8,2.4,5.9,40.9,1.0,1.1,86.5,0.5,2.9,3.4,1.5,0.7,0.3,0.7,11.4
103,Clint Capela,ATL,74,27.6,11.1,5.0,8.2,61.3,0.0,0.0,0.0,1.1,2.3,47.3,3.8,8.1,11.9,1.2,0.7,1.3,0.6,21.2
104,Dorian Finney-Smith,DAL,80,33.1,11.0,4.1,8.7,47.1,2.2,5.4,39.5,0.7,1.0,67.5,1.5,3.2,4.7,1.9,1.1,0.5,1.0,13.2
105,Hamidou Diallo,DET,58,21.9,11.0,4.5,9.1,49.6,0.4,1.6,24.7,1.6,2.4,65.0,1.2,3.6,4.8,1.3,1.2,0.3,1.0,12.1
106,Duncan Robinson,MIA,79,25.9,10.9,3.7,9.2,39.9,2.9,7.9,37.2,0.6,0.8,83.6,0.3,2.3,2.6,1.6,0.5,0.2,0.8,9.4
107,De'Anthony Melton,MEM,73,22.7,10.8,3.8,9.5,40.4,1.9,5.1,37.4,1.2,1.6,75.0,0.9,3.6,4.5,2.7,1.4,0.5,1.5,12.3
108,Darius Bazley,OKC,69,27.9,10.8,4.0,9.4,42.2,1.2,3.9,29.7,1.7,2.5,68.8,1.0,5.3,6.3,1.4,0.8,1.0,1.3,12.9
109,Cameron Payne,PHX,58,22.0,10.8,4.1,10.1,40.9,1.2,3.6,33.6,1.3,1.5,84.3,0.4,2.6,3.0,4.9,0.7,0.3,1.8,11.7
110,Terance Mann,LAC,81,28.6,10.8,4.1,8.5,48.4,0.9,2.6,36.5,1.6,2.0,78.0,1.3,4.0,5.2,2.6,0.7,0.3,1.0,13.7
111,Cedi Osman,CLE,66,22.2,10.7,3.7,8.7,43.2,1.9,5.4,35.7,1.3,2.0,66.4,0.4,1.8,2.2,2.0,0.8,0.2,1.0,9.3
112,Mo Bamba,ORL,71,25.7,10.6,4.2,8.7,48.0,1.5,4.0,38.1,0.8,1.0,78.1,2.1,6.0,8.1,1.2,0.5,1.7,1.1,16.3
